File_Name,Volume_um3,Area_um2,Convex_Hull_Volume_um3,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,KongFonseca_Flatness,KongFonseca_Elongation,Tensor_Compactness,Tensor_Flakiness,Tensor_Rodness
particle_100_S0.7I1.6L8.4_Irreg.stl,4.928448136035613,139.8537447971099,12.103699033217515,0.1001421286165085,0.4071852846398386,0.25131581370971795,0.43749999999999994,0.19047619047619047,0.1682242990654206,0.6355140186915889,0.5625,0.8095238095238095,0.016165478549039342,0.6786598751713601,0.3051746462796006
particle_100_S1.0I2.1L11.7_Irreg.stl,12.750568732432,175.92311037126683,22.833430840006514,0.1500309758499181,0.5584166839304628,0.248474899575218,0.47619047619047616,0.17948717948717952,0.14864864864864868,0.6486486486486487,0.5238095238095238,0.8205128205128205,0.014844510435417412,0.6930000969246717,0.29215539263991097
particle_100_S1.0I6.0L9.7_Irreg.stl,30.637463288703618,926.2174311924477,122.65448161427942,0.051121828259351756,0.24978674146658175,0.3995176102864442,0.16666666666666666,0.6185567010309279,0.5988023952095809,0.22155688622754488,0.8333333333333334,0.38144329896907214,0.02720007913533395,0.9421273153056915,0.03067260555897457
particle_100_S1.8I3.5L7.4_Sat.stl,13.724025801743537,61.95945685855385,20.725129954924473,0.4474016070095516,0.6621925088813538,0.4863613291651705,0.5142857142857143,0.47297297297297297,0.26771653543307083,0.30708661417322836,0.4857142857142857,0.5270270270270271,0.1632615347417953,0.7819167706192692,0.054821694638935506
particle_100_S10.8I10.8L13.0_Irr.stl,873.2372352825377,490.8986624712598,924.3417970103143,0.9000095263192482,0.9447124841773152,0.8837313644575256,1.0,0.8307692307692308,0.0,0.06358381502890172,0.0,0.16923076923076918,0.7697982402452039,0.017742665339556235,0.2124590944152398
particle_100_S11.3I11.5L11.7_Hull.stl,770.9816562358814,458.6712865605791,770.9816562358814,0.8864997164010919,1.0,0.9828068771622842,0.982608695652174,0.982905982905983,0.011594202898550683,0.005797101449275342,0.017391304347826025,0.017094017094017033,0.689300929089364,0.2736564554883691,0.03704261542226691
particle_100_S2.1I5.4L8.2_Irreg.stl,47.615500902313336,719.09109461212,175.20553143430257,0.0883484875183594,0.27176939285257606,0.5524951244907647,0.3888888888888889,0.6585365853658538,0.4203821656050956,0.17834394904458592,0.6111111111111112,0.34146341463414626,0.1137969920490512,0.7750024129186205,0.11120059503232839
particle_100_S2.3I2.9L6.8_Sat.stl,17.10560328883734,45.82904800198973,19.175907516501915,0.7005442172407442,0.8920361799887194,0.5244482849266571,0.793103448275862,0.4264705882352941,0.10000000000000002,0.325,0.20689655172413796,0.5735294117647058,0.1778441921250888,0.5408828953480778,0.2812729125268334
particle_100_S2.3I8.1L14.9_Irreg.stl,146.59596557935689,2626.204640455062,816.0880349570076,0.05119610318308242,0.17963253877025623,0.4378043839163122,0.2839506172839506,0.5436241610738255,0.458498023715415,0.26877470355731226,0.7160493827160493,0.45637583892617456,0.051511451626784346,0.8579543617506867,0.09053418662252892
particle_100_S3.9I12.6L15.5_Sat.stl,194.51553394984964,401.6733307690793,316.3232432920262,0.4041854293212569,0.614926465489844,0.5891925569630106,0.30952380952380953,0.8129032258064516,0.54375,0.09062500000000001,0.6904761904761905,0.18709677419354842,0.13882355093374765,0.8555302014606573,0.005646247605595055
particle_100_S4.9I5.6L11.4_Sat.stl,112.93645512687328,199.25997871485143,135.78921958415728,0.5670484219277675,0.8317041328665957,0.5954675982610378,0.8750000000000001,0.49122807017543857,0.06392694063926935,0.26484018264840187,0.12499999999999988,0.5087719298245614,0.3598545290964028,0.39332145877924984,0.24682401212434738
particle_100_S5.8I5.9L6.1_Hull.stl,114.65769464981922,127.07677069990477,114.80909699756354,0.8981594110601436,0.9986812687173428,0.972463803113094,0.983050847457627,0.9672131147540984,0.011235955056179834,0.011235955056179735,0.01694915254237297,0.03278688524590152,0.636120608399447,0.29444840340308553,0.0694309881974675
particle_100_S7.3I8.7L8.7_Sat.stl,285.8262587542692,234.33912286386186,292.189692905327,0.8954487632762357,0.9782215652859473,0.9431943759574866,0.839080459770115,1.0,0.11336032388663964,0.0,0.160919540229885,0.0,0.7961278552305514,0.1601361240689961,0.043736020700452516
particle_100_S8.6I8.7L8.7_Hull.stl,374.5380569910756,281.363299588653,377.33718756022864,0.8930600144966623,0.9925818852171674,0.9961538081495463,0.9885057471264368,1.0,0.007692307692307665,0.0,0.011494252873563178,0.0,0.7025355617259021,0.19528794508245165,0.10217649319164619
particle_101_S0.8I1.3L6.6_Irreg.stl,3.2896968493163867,87.9765925409719,7.578375976107087,0.12158712048021329,0.43408995010119056,0.28794872248164566,0.6153846153846154,0.196969696969697,0.1149425287356322,0.6091954022988506,0.3846153846153846,0.8030303030303031,0.02618648138813955,0.5032174569009051,0.47059606171095536
particle_101_S1.0I1.6L9.7_Sat.stl,4.7108715838410555,80.56783871629872,7.957631530412484,0.16867727956203854,0.5919941839273459,0.25715334112971394,0.625,0.16494845360824745,0.09756097560975611,0.6585365853658537,0.37500000000000006,0.8350515463917526,0.03601983658958845,0.4968463908206546,0.46713377258975686
particle_101_S1.5I3.4L5.9_Irreg.stl,15.21971210165722,227.06703712277826,37.91118310852773,0.13079796573982902,0.40145705973058127,0.5271757010840157,0.4411764705882353,0.5762711864406779,0.3518518518518518,0.2314814814814815,0.5588235294117647,0.42372881355932207,0.1083332452443032,0.7246412936745655,0.16702546108113128
particle_101_S11.0I11.3L11.5_Hull.stl,869.2113397894572,501.6977494423047,869.2113397894573,0.8779279872175246,0.9999999999999999,0.9795467077779952,0.9734513274336283,0.982608695652174,0.01775147928994087,0.0059171597633135885,0.026548672566371743,0.017391304347826025,0.7779099317829868,0.07929741615075034,0.14279265206626285
particle_101_S2.3I6.7L13.9_Irreg.stl,110.8564475953814,2380.5926371093256,713.3854631684826,0.046878424791400246,0.1553948788121017,0.43045161945541655,0.34328358208955223,0.48201438848920863,0.38427947598253276,0.31441048034934493,0.6567164179104478,0.5179856115107914,0.05452072567927722,0.8106816064184876,0.13479766790223519
particle_101_S3.0I3.7L12.6_Irr.stl,81.94321199411526,129.62902313098647,88.22717969122014,0.7038128608191025,0.9287751493462935,0.41196529311264235,0.8108108108108107,0.29365079365079366,0.07253886010362696,0.4611398963730569,0.18918918918918923,0.7063492063492063,0.12371787918734685,0.21868842063213556,0.6575937001805177
particle_101_S3.0I8.0L8.0_Irreg.stl,101.29489355993094,669.5890980692045,229.382868825914,0.15694016999774144,0.44159746574974995,0.7211247851537042,0.375,1.0,0.5263157894736842,0.0,0.625,0.0,0.21040487750044007,0.784623458173185,0.004971664326374932
particle_101_S3.2I10.1L12.0_Irreg.stl,187.3520070103776,4089.740014020502,1974.9234631992028,0.03871631283583714,0.0948654520043444,0.6077191942238991,0.31683168316831684,0.8416666666666667,0.5454545454545454,0.07509881422924902,0.6831683168316831,0.15833333333333335,0.12753064386217622,0.8366607583526814,0.035808597785142345
particle_101_S3.7I3.9L8.2_Sat.stl,43.958246041913476,92.01724799211615,55.35585346395255,0.6545986737078373,0.7941029410835272,0.5987049866724663,0.9487179487179488,0.475609756097561,0.025316455696202497,0.2721518987341771,0.05128205128205122,0.5243902439024389,0.34126039031564537,0.25237889566337507,0.40636071402097956
